t,p1x,p1y,p1h,p2x,p2y,p2h,p1ax,p1ay,p2ax,p2ay
2301,330.0,349.0586341738422,0,407.79823639415866,350.0,180.0,0.0,0.0,-0.006767823371121421,8.288193228640848e-19
2319,330.0,349.0030636531895,0,405.95390601198653,350.0,180.0,0.0,0.0,0.08594214628313582,-1.052487743574971e-17
2336,330.0,348.950217973622,0,404.20807772345074,350.0,180.0,0.0,0.0,-0.03426215720804247,4.19590411567158e-18
2353,330.0,348.8970468115118,0,402.45958158585967,350.0,180.0,0.0,0.0,-0.023078279024994517,2.8262740537787145e-18
2370,330.0,348.84358333167467,0,400.7092884404351,350.0,180.0,0.0,0.0,-0.015545050462569232,1.903719629156709e-18
2387,330.0,348.7898573196205,0,398.95778486777624,350.0,180.0,0.0,0.0,-0.010470823826252775,1.2823060883256734e-18
2404,330.0,348.7358955258858,0,397.205465976418,350.0,180.0,0.0,0.0,-0.007052929925471991,8.637348057839204e-19
2421,330.0,348.6817219752796,0,395.452597903281,350.0,180.0,0.0,0.0,-0.004750707428471781,5.817938645963827e-19
2438,330.0,348.62735824462,0,393.6993599126794,350.0,180.0,0.0,0.0,-0.0031999780671926,3.918842897327279e-19
2455,330.0,348.57853386821415,0,391.94587275334015,350.0,180.0,0.0,0.0,-0.002155438907715948,2.6396513590926496e-19
2472,330.0,348.53468441744064,0,390.1922177591031,350.0,180.0,0.0,0.0,-0.001451858977574716,1.7780144497021628e-19
2489,330.0,348.49530297573716,0,388.43844971475716,350.0,180.0,0.0,0.0,-0.00097794211806413,1.1976336846383054e-19
2506,330.0,348.45422412240555,0,386.6846055222008,350.0,180.0,0.0,0.0,-0.0006587215432423263,8.067012294619984e-20
2522,330.0,348.4141907467062,0,385.0234120525544,350.0,180.0,0.0,0.0,-0.10270100131365423,1.25772452527996e-17
2539,330.0,348.37027925005367,0,383.26199008159597,350.0,180.0,0.0,0.0,0.03110804966113868,-3.809637344523241e-18
2556,330.0,348.3251319285487,0,381.5029903626982,350.0,180.0,0.0,0.0,0.02095373754909372,-2.566092761967032e-18
2573,330.0,348.278874705699,0,379.7456222225882,350.0,180.0,0.0,0.0,0.014114003354726925,-1.7284669031520257e-18
2590,330.0,348.2316206741246,0,377.9907477646076,349.9600614622183,184.0,0.0,0.0,0.02157164471731388,-0.34548908115673443
2607,330.0,348.189181558996,0,376.2375529992286,349.893221153098,184.0,0.0,0.0,0.01453021281734458,-0.23271428493568955
2624,330.0,348.15106674777473,0,374.4854896399752,349.80826036833315,184.0,0.0,0.0,0.009787250220558054,-0.15675151941650214
2641,330.0,348.11683561854346,0,372.7341883724399,349.71109400671423,184.0,0.0,0.0,0.006592488911484275,-0.10558457486257114
2658,330.0,348.08038229020246,0,370.98340043409195,349.60570622148236,184.0,0.0,0.0,0.004440563903916437,-0.07111958142675746
2675,330.0,348.0419331921734,0,369.23295826364597,349.4947806556907,184.0,0.0,0.0,0.002991071816659448,-0.04790467612244213
2692,330.0,348.00169168201063,0,367.48274899529287,349.38012495568245,184.0,0.0,0.0,0.0020147239868606444,-0.03226759702965102
2709,329.87830591191243,347.9554024006449,0,365.8543906930503,349.2673947102195,184.0,0.0,0.0,0.0013570763231510673,-0.021734784625340044
2726,329.00310877918827,347.8804886277545,0,364.97964110522935,349.1801508120635,184.0,0.0,0.0,0.0009140984863766648,-0.014640100478378177
2743,328.12783403605965,347.81044154100186,0,364.10504030479007,349.09131198614006,184.0,0.0,0.0,0.0006157177960772361,-0.009861268271650151
2760,327.2524844278741,347.74495619689066,0,363.2305623127445,349.0011057541482,184.0,0.0,0.0,0.00041473474691646487,-0.0066423459367010865
2777,326.3770647842938,347.68376418023985,0,362.3561866497317,348.9096474503624,184.0,0.0,0.0,0.0002793567303025751,-0.00447414656283631
2794,325.5015907639422,347.62560916353965,0,361.48049243134375,348.8579381810723,180.0,0.0,0.0,-0.011876575661023108,0.34247538875701544
2811,324.6261698993253,347.56471820774664,0,360.6052149630525,348.7928535025286,184.0,0.0,0.0,0.004064929337296101,-0.11480475696385224
2828,323.7507899379041,347.50154914548864,0,359.73021311039497,348.7185570233701,184.0,0.0,0.0,0.0027380521574680555,-0.07733010500536834
2845,322.87545895976837,347.4354489869189,0,358.85398079050395,348.6788181498333,180.0,0.0,0.0,-0.01022044937682242,0.29340112506250954
2862,322.00018338318654,347.36700359129986,0,357.97829193042924,348.62227462291906,184.0,0.0,0.0,0.005180461679738022,-0.14786016394278187
2879,321.12494385642117,347.2966546279722,0,357.10297040114585,348.55427378617884,184.0,0.0,0.0,0.0034894516243485557,-0.09959554208547707
2896,320.2497304046209,347.2247432029625,0,356.22789450571486,348.47842095850945,184.0,0.0,0.0,0.0023504222965860487,-0.06708549306856264
2913,319.3745371044245,347.1515387164323,0,355.35298147610837,348.39714723986555,184.0,0.0,0.0,0.0015831957473617523,-0.04518739780932848
2930,318.49935986003544,347.07725876812196,0,354.47817566744135,348.31209199441446,184.0,0.0,0.0,0.001066407844284774,-0.030437294672510464
2947,317.62419548613286,347.0020829672978,0,353.60344002494963,348.22436052007674,184.0,0.0,0.0,0.000718310223008533,-0.020501930889899107
2964,316.7490413294206,346.9261625879724,0,352.72875009704205,348.13469765041077,184.0,0.0,0.0,0.00048383887950783044,-0.013809675752616268
2981,315.8739066025601,346.84860545960424,0,351.8526837292951,348.0845651938707,180.0,0.0,0.0,-0.011738840723133555,0.33618716977011687
2998,314.9988103733095,346.76980688352177,0,350.9770594946059,348.0210423393559,184.0,0.0,0.0,0.004157704736954732,-0.11904037095244947
3015,314.1237364277032,346.6900532910201,0,350.1017367191292,347.94842328039124,184.0,0.0,0.0,0.0028005437439430005,-0.08018312680657771
3032,313.24867639369165,346.60955705684734,0,349.22661809853656,347.86960097782054,184.0,0.0,0.0,0.0018863882257031817,-0.054009692451714095
3049,312.3736255356498,346.5284790193921,0,348.3516371870351,347.7865241746962,184.0,0.0,0.0,0.0012706320141454759,-0.036379809504877354
3066,311.4985808676693,346.44694386100457,0,347.47674902420516,347.70050522768275,184.0,0.0,0.0,0.0008558713913586757,-0.024504685724592887
3083,310.62354029800593,346.36505064608883,0,346.60192340613804,347.61242746344436,184.0,0.0,0.0,0.0005764972316057991,-0.01650584845367489
3100,309.7485022321421,346.2828800742435,0,345.72714017366894,347.5228848615419,184.0,0.0,0.0,0.0003883165875209596,-0.011117997440883709
3117,308.87346538077793,346.2004995031106,0,344.852385963268,347.4322761544869,184.0,0.0,0.0,0.0002615620056398965,-0.007488852659856647
3134,307.99842866064847,346.1179664547773,0,343.97765198835776,347.3408682230387,184.0,0.0,0.0,0.00017618274622321906,-0.005044335948019792
3151,307.1233911386337,346.03533108880265,0,343.10293253393706,347.2488388076299,184.0,0.0,0.0,0.00011867304653425408,-0.0033977601526175992
3168,306.2483519971569,345.95263796886763,3,342.22822393954584,347.1563052855672,184.0,0.0,0.0,7.993570468969706e-05,-0.002288660821499967
3185,305.3733105109275,345.869927344563,6,341.35352391416194,347.06334406042816,184.0,0.0,0.0,5.3843034041780326e-05,-0.0015415944977261468
3202,304.49827098188547,345.7862140920228,9,340.477431439648,347.01096417043914,180.0,0.0,0.0,-0.012028477013135794,0.34445069505203324
3220,303.57764136298493,345.6970235147538,12,339.55608745075773,346.94258246929024,184.0,0.0,0.0,0.09387469660698541,-0.10226446012118383
3237,302.70637411817427,345.6122533123461,15,338.6844203728632,346.86930848037326,184.0,0.0,0.0,-0.02848254337282817,-0.07812939010044016
3254,301.8339024268236,345.5271219181004,18,337.8117399265016,346.7901376926519,184.0,0.0,0.0,-0.019185250925919124,-0.05262633796938169
3271,300.9606177644953,345.44175232378836,21,336.9383785768924,346.7069506979355,184.0,0.0,0.0,-0.012922787416578653,-0.03544801059508051
3288,300.08678427650534,345.3562329525708,24,336.0645598102265,346.6210126350357,184.0,0.0,0.0,-0.00870452178388933,-0.02387704529013647
3305,299.21258002053264,345.27062857564397,27,335.1904340273024,346.53317404712766,184.0,0.0,0.0,-0.005863185475683378,-0.016083082864637183
3322,298.33812492920055,345.1849877755124,30,334.3161025383198,346.4440061064812,184.0,0.0,0.0,-0.003949320224101046,-0.010833231301766002
3339,297.4634997257276,345.09934804102346,33,333.44163364464055,346.35389166831015,184.0,0.0,0.0,-0.002660180254774586,-0.007297040090218169
3356,296.58875870028305,345.0137392468644,36,332.5670734359644,346.26308658858096,184.0,0.0,0.0,-0.0017918422883808787,-0.004915134976354906
3373,295.7139383308662,344.928186034535,39,331.6924530480914,346.1717610191689,184.0,0.0,0.0,-0.0012069478301935486,-0.003310733055746068
